location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,2.6,Point,NA,NA
HHS Region 1,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 1,3 wk ahead,percent,2.3,Point,NA,NA
HHS Region 1,4 wk ahead,percent,2.1,Point,NA,NA
HHS Region 1,Season onset,week,52,Point,NA,NA
HHS Region 1,Season peak percentage,percent,3.2,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 10,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 10,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 10,Season onset,week,50,Point,NA,NA
HHS Region 10,Season peak percentage,percent,3.8,Point,NA,NA
HHS Region 10,Season peak week,week,52,Point,NA,NA
HHS Region 2,1 wk ahead,percent,4.7,Point,NA,NA
HHS Region 2,2 wk ahead,percent,4.4,Point,NA,NA
HHS Region 2,3 wk ahead,percent,4.1,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.9,Point,NA,NA
HHS Region 2,Season onset,week,47,Point,NA,NA
HHS Region 2,Season peak percentage,percent,6.6,Point,NA,NA
HHS Region 2,Season peak week,week,6,Point,NA,NA
HHS Region 3,1 wk ahead,percent,4.7,Point,NA,NA
HHS Region 3,2 wk ahead,percent,4.1,Point,NA,NA
HHS Region 3,3 wk ahead,percent,3.6,Point,NA,NA
HHS Region 3,4 wk ahead,percent,3.1,Point,NA,NA
HHS Region 3,Season onset,week,51,Point,NA,NA
HHS Region 3,Season peak percentage,percent,5.5,Point,NA,NA
HHS Region 3,Season peak week,week,8,Point,NA,NA
HHS Region 4,1 wk ahead,percent,5.5,Point,NA,NA
HHS Region 4,2 wk ahead,percent,5.1,Point,NA,NA
HHS Region 4,3 wk ahead,percent,4.5,Point,NA,NA
HHS Region 4,4 wk ahead,percent,4,Point,NA,NA
HHS Region 4,Season onset,week,44,Point,NA,NA
HHS Region 4,Season peak percentage,percent,5.9,Point,NA,NA
HHS Region 4,Season peak week,week,8,Point,NA,NA
HHS Region 5,1 wk ahead,percent,3.9,Point,NA,NA
HHS Region 5,2 wk ahead,percent,3.3,Point,NA,NA
HHS Region 5,3 wk ahead,percent,2.8,Point,NA,NA
HHS Region 5,4 wk ahead,percent,2.4,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,4.4,Point,NA,NA
HHS Region 5,Season peak week,week,8,Point,NA,NA
HHS Region 6,1 wk ahead,percent,7,Point,NA,NA
HHS Region 6,2 wk ahead,percent,6,Point,NA,NA
HHS Region 6,3 wk ahead,percent,5,Point,NA,NA
HHS Region 6,4 wk ahead,percent,4,Point,NA,NA
HHS Region 6,Season onset,week,52,Point,NA,NA
HHS Region 6,Season peak percentage,percent,10,Point,NA,NA
HHS Region 6,Season peak week,week,6,Point,NA,NA
HHS Region 7,1 wk ahead,percent,3.7,Point,NA,NA
HHS Region 7,2 wk ahead,percent,3.1,Point,NA,NA
HHS Region 7,3 wk ahead,percent,2.5,Point,NA,NA
HHS Region 7,4 wk ahead,percent,2,Point,NA,NA
HHS Region 7,Season onset,week,51,Point,NA,NA
HHS Region 7,Season peak percentage,percent,6.4,Point,NA,NA
HHS Region 7,Season peak week,week,6,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.8,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.6,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,Season onset,week,51,Point,NA,NA
HHS Region 8,Season peak percentage,percent,2.9,Point,NA,NA
HHS Region 8,Season peak week,week,7,Point,NA,NA
HHS Region 9,1 wk ahead,percent,2.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,2.4,Point,NA,NA
HHS Region 9,3 wk ahead,percent,2.3,Point,NA,NA
HHS Region 9,4 wk ahead,percent,2.2,Point,NA,NA
HHS Region 9,Season onset,week,51,Point,NA,NA
HHS Region 9,Season peak percentage,percent,3.6,Point,NA,NA
HHS Region 9,Season peak week,week,52,Point,NA,NA
US National,1 wk ahead,percent,4.6,Point,NA,NA
US National,2 wk ahead,percent,4.3,Point,NA,NA
US National,3 wk ahead,percent,3.9,Point,NA,NA
US National,4 wk ahead,percent,3.6,Point,NA,NA
US National,Season onset,week,50,Point,NA,NA
US National,Season peak percentage,percent,5.2,Point,NA,NA
US National,Season peak week,week,6,Point,NA,NA
HHS Region 1,1 wk ahead,percent,2.90566152216828e-10,Bin,0.0,0.1
HHS Region 1,1 wk ahead,percent,8.31163906976272e-10,Bin,0.1,0.2
HHS Region 1,1 wk ahead,percent,1.22309146594249e-09,Bin,0.2,0.3
HHS Region 1,1 wk ahead,percent,1.64576958285559e-09,Bin,0.3,0.4
HHS Region 1,1 wk ahead,percent,2.04637367321785e-09,Bin,0.4,0.5
HHS Region 1,1 wk ahead,percent,2.38739929634129e-09,Bin,0.5,0.6
HHS Region 1,1 wk ahead,percent,2.67034004926583e-09,Bin,0.6,0.7
HHS Region 1,1 wk ahead,percent,2.94486831418189e-09,Bin,0.7,0.8
HHS Region 1,1 wk ahead,percent,3.29787734873956e-09,Bin,0.8,0.9
HHS Region 1,1 wk ahead,percent,3.82325414055249e-09,Bin,0.9,1.0
HHS Region 1,1 wk ahead,percent,0.00200000429285944,Bin,1.0,1.1
HHS Region 1,1 wk ahead,percent,5.55746497829371e-09,Bin,1.1,1.2
HHS Region 1,1 wk ahead,percent,0.00400000608072614,Bin,1.2,1.3
HHS Region 1,1 wk ahead,percent,0.00200000743084403,Bin,1.3,1.4
HHS Region 1,1 wk ahead,percent,0.00200000829112006,Bin,1.4,1.5
HHS Region 1,1 wk ahead,percent,9.11796941146881e-09,Bin,1.5,1.6
HHS Region 1,1 wk ahead,percent,0.00200000900068651,Bin,1.6,1.7
HHS Region 1,1 wk ahead,percent,0.00600000824024525,Bin,1.7,1.8
HHS Region 1,1 wk ahead,percent,0.0300000042918498,Bin,1.8,1.9
HHS Region 1,1 wk ahead,percent,0.0340000029674093,Bin,1.9,2.0
HHS Region 1,1 wk ahead,percent,0.0380000014535438,Bin,2.0,2.1
HHS Region 1,1 wk ahead,percent,0.0380000004055048,Bin,2.1,2.2
HHS Region 1,1 wk ahead,percent,0.0539999970428695,Bin,2.2,2.3
HHS Region 1,1 wk ahead,percent,0.0499999966490877,Bin,2.3,2.4
HHS Region 1,1 wk ahead,percent,0.0799999915415448,Bin,2.4,2.5
HHS Region 1,1 wk ahead,percent,0.0859999901129719,Bin,2.5,2.6
HHS Region 1,1 wk ahead,percent,0.077999990921312,Bin,2.6,2.7
HHS Region 1,1 wk ahead,percent,0.0699999919061142,Bin,2.7,2.8
HHS Region 1,1 wk ahead,percent,0.0679999921367109,Bin,2.8,2.9
HHS Region 1,1 wk ahead,percent,0.0619999929839809,Bin,2.9,3.0
HHS Region 1,1 wk ahead,percent,0.0739999912253641,Bin,3.0,3.1
HHS Region 1,1 wk ahead,percent,0.0339999968902728,Bin,3.1,3.2
HHS Region 1,1 wk ahead,percent,0.0379999961424341,Bin,3.2,3.3
HHS Region 1,1 wk ahead,percent,0.0339999964659627,Bin,3.3,3.4
HHS Region 1,1 wk ahead,percent,0.0239999976023319,Bin,3.4,3.5
HHS Region 1,1 wk ahead,percent,0.0239999972952824,Bin,3.5,3.6
HHS Region 1,1 wk ahead,percent,0.0139999984663995,Bin,3.6,3.7
HHS Region 1,1 wk ahead,percent,0.00599999941505101,Bin,3.7,3.8
HHS Region 1,1 wk ahead,percent,0.00599999928149873,Bin,3.8,3.9
HHS Region 1,1 wk ahead,percent,0.00999999862870475,Bin,3.9,4.0
HHS Region 1,1 wk ahead,percent,0.00399999945267467,Bin,4.0,4.1
HHS Region 1,1 wk ahead,percent,0.00399999943899245,Bin,4.1,4.2
HHS Region 1,1 wk ahead,percent,0.00199999972655707,Bin,4.2,4.3
HHS Region 1,1 wk ahead,percent,0.00599999915102033,Bin,4.3,4.4
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,4.4,4.5
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,4.5,4.6
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,4.6,4.7
HHS Region 1,1 wk ahead,percent,0.00199999972655707,Bin,4.7,4.8
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,4.8,4.9
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,4.9,5.0
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.0,5.1
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.1,5.2
HHS Region 1,1 wk ahead,percent,0.0039999994387887,Bin,5.2,5.3
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.3,5.4
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.4,5.5
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.5,5.6
HHS Region 1,1 wk ahead,percent,0.00199999972655707,Bin,5.6,5.7
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.7,5.8
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.8,5.9
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,5.9,6.0
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,6.0,6.1
HHS Region 1,1 wk ahead,percent,0.00199999972655707,Bin,6.1,6.2
HHS Region 1,1 wk ahead,percent,1.43254346007446e-11,Bin,6.2,6.3
