location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 1,Season onset,week,4,Point,NA,NA
HHS Region 1,Season peak percentage,percent,2.6,Point,NA,NA
HHS Region 1,Season peak week,week,7,Point,NA,NA
HHS Region 10,1 wk ahead,percent,1.7,Point,NA,NA
HHS Region 10,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 10,3 wk ahead,percent,2,Point,NA,NA
HHS Region 10,4 wk ahead,percent,2.3,Point,NA,NA
HHS Region 10,Season onset,week,52,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5.5,Point,NA,NA
HHS Region 10,Season peak week,week,7,Point,NA,NA
HHS Region 2,1 wk ahead,percent,1.9,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.1,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.4,Point,NA,NA
HHS Region 2,4 wk ahead,percent,2.4,Point,NA,NA
HHS Region 2,Season onset,week,52,Point,NA,NA
HHS Region 2,Season peak percentage,percent,4.2,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.7,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 3,3 wk ahead,percent,2.1,Point,NA,NA
HHS Region 3,4 wk ahead,percent,2.5,Point,NA,NA
HHS Region 3,Season onset,week,3,Point,NA,NA
HHS Region 3,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 3,Season peak week,week,7,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,3 wk ahead,percent,2.1,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2.3,Point,NA,NA
HHS Region 4,Season onset,week,51,Point,NA,NA
HHS Region 4,Season peak percentage,percent,4.2,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 5,4 wk ahead,percent,2.2,Point,NA,NA
HHS Region 5,Season onset,week,1,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.9,Point,NA,NA
HHS Region 5,Season peak week,week,7,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,2 wk ahead,percent,3.3,Point,NA,NA
HHS Region 6,3 wk ahead,percent,4,Point,NA,NA
HHS Region 6,4 wk ahead,percent,4.6,Point,NA,NA
HHS Region 6,Season onset,week,1,Point,NA,NA
HHS Region 6,Season peak percentage,percent,7.8,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 7,Season onset,week,3,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4.5,Point,NA,NA
HHS Region 7,Season peak week,week,6,Point,NA,NA
HHS Region 8,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 8,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,Season onset,week,4,Point,NA,NA
HHS Region 8,Season peak percentage,percent,3.4,Point,NA,NA
HHS Region 8,Season peak week,week,6,Point,NA,NA
HHS Region 9,1 wk ahead,percent,2.1,Point,NA,NA
HHS Region 9,2 wk ahead,percent,2.6,Point,NA,NA
HHS Region 9,3 wk ahead,percent,3.3,Point,NA,NA
HHS Region 9,4 wk ahead,percent,3.9,Point,NA,NA
HHS Region 9,Season onset,week,3,Point,NA,NA
HHS Region 9,Season peak percentage,percent,5.2,Point,NA,NA
HHS Region 9,Season peak week,week,5,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,2.2,Point,NA,NA
US National,4 wk ahead,percent,2.5,Point,NA,NA
US National,Season onset,week,52,Point,NA,NA
US National,Season peak percentage,percent,3.7,Point,NA,NA
US National,Season peak week,week,6,Point,NA,NA
US National,Season onset,week,0.00412637010149997,Bin,40.0,41.0
US National,Season onset,week,0.00790368806916405,Bin,41.0,42.0
US National,Season onset,week,0.0135259251527397,Bin,42.0,43.0
US National,Season onset,week,0.0208284813364685,Bin,43.0,44.0
US National,Season onset,week,0.0291375161435605,Bin,44.0,45.0
US National,Season onset,week,0.0374860952382539,Bin,45.0,46.0
US National,Season onset,week,0.0449931674364945,Bin,46.0,47.0
US National,Season onset,week,0.0511107799309706,Bin,47.0,48.0
US National,Season onset,week,0.0555428182603727,Bin,48.0,49.0
US National,Season onset,week,0.0579564974608962,Bin,49.0,50.0
US National,Season onset,week,0.0591776637316227,Bin,50.0,51.0
US National,Season onset,week,0.0767862364645081,Bin,51.0,52.0
US National,Season onset,week,0.0769520935863456,Bin,52.0,53.0
US National,Season onset,week,0.0633642684003158,Bin,1.0,2.0
US National,Season onset,week,0.0495645510765382,Bin,2.0,3.0
US National,Season onset,week,0.0401813575261392,Bin,3.0,4.0
US National,Season onset,week,0.0356563472665995,Bin,4.0,5.0
US National,Season onset,week,0.0275982486984045,Bin,5.0,6.0
US National,Season onset,week,0.0213404721587931,Bin,6.0,7.0
US National,Season onset,week,0.0165150501268722,Bin,7.0,8.0
US National,Season onset,week,0.0085513105693696,Bin,8.0,9.0
US National,Season onset,week,0.00644209208783137,Bin,9.0,10.0
US National,Season onset,week,0.00309066046091421,Bin,10.0,11.0
US National,Season onset,week,0.00249939325023418,Bin,11.0,12.0
US National,Season onset,week,0.000493017494293686,Bin,12.0,13.0
US National,Season onset,week,0.00218915009515535,Bin,13.0,14.0
US National,Season onset,week,0.000140963982234472,Bin,14.0,15.0
US National,Season onset,week,0.000807630648901138,Bin,15.0,16.0
US National,Season onset,week,0.000140963982234472,Bin,16.0,17.0
US National,Season onset,week,0.000140963982234472,Bin,17.0,18.0
US National,Season onset,week,0.000140963982234472,Bin,18.0,19.0
US National,Season onset,week,0.000140963982234472,Bin,19.0,20.0
US National,Season onset,week,0.000140963982234472,Bin,20.0,21.0
US National,Season onset,week,0.185333333333333,Bin,none,none
US National,Season peak week,week,0.00108786350136306,Bin,40.0,41.0
US National,Season peak week,week,0.00108786350136306,Bin,41.0,42.0
US National,Season peak week,week,0.00108786350136306,Bin,42.0,43.0
US National,Season peak week,week,0.00108786350136306,Bin,43.0,44.0
US National,Season peak week,week,0.00108786350136306,Bin,44.0,45.0
US National,Season peak week,week,0.00108786350136306,Bin,45.0,46.0
US National,Season peak week,week,0.00108786350136306,Bin,46.0,47.0
US National,Season peak week,week,0.0500492878337072,Bin,47.0,48.0
US National,Season peak week,week,0.00108786350136306,Bin,48.0,49.0
US National,Season peak week,week,0.00108786350136306,Bin,49.0,50.0
US National,Season peak week,week,0.00404639196537926,Bin,50.0,51.0
US National,Season peak week,week,0.0472707564917408,Bin,51.0,52.0
US National,Season peak week,week,0.103898176849809,Bin,52.0,53.0
US National,Season peak week,week,0.0612658943872772,Bin,1.0,2.0
US National,Season peak week,week,0.0409964068492915,Bin,2.0,3.0
US National,Season peak week,week,0.0528632189604094,Bin,3.0,4.0
US National,Season peak week,week,0.0419672836693801,Bin,4.0,5.0
US National,Season peak week,week,0.0559030266547287,Bin,5.0,6.0
US National,Season peak week,week,0.127363122136901,Bin,6.0,7.0
US National,Season peak week,week,0.214337828466436,Bin,7.0,8.0
US National,Season peak week,week,0.0958156296349056,Bin,8.0,9.0
US National,Season peak week,week,0.0234958759734581,Bin,9.0,10.0
US National,Season peak week,week,0.0277597903272245,Bin,10.0,11.0
US National,Season peak week,week,0.00896651634107219,Bin,11.0,12.0
US National,Season peak week,week,0.00797739665759049,Bin,12.0,13.0
US National,Season peak week,week,0.00451547776540454,Bin,13.0,14.0
US National,Season peak week,week,0.00748283681584964,Bin,14.0,15.0
US National,Season peak week,week,0.00303179824018199,Bin,15.0,16.0
US National,Season peak week,week,0.00253723839844114,Bin,16.0,17.0
US National,Season peak week,week,0.00204267855670029,Bin,17.0,18.0
US National,Season peak week,week,0.00204267855670029,Bin,18.0,19.0
US National,Season peak week,week,0.00204267855670029,Bin,19.0,20.0
US National,Season peak week,week,0.00253723839844114,Bin,20.0,21.0
US National,Season peak percentage,percent,4.80796262806596e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,9.61592525613192e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,9.61592525613192e-05,Bin,0.2,0.3
