location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.1,Point,NA,NA
Delaware,2 wk ahead,percent,0.2,Point,NA,NA
Delaware,3 wk ahead,percent,0.2,Point,NA,NA
Delaware,4 wk ahead,percent,0.3,Point,NA,NA
Delaware,Season peak percentage,percent,6.6,Point,NA,NA
Delaware,Season peak week,week,3,Point,NA,NA
Maryland,1 wk ahead,percent,0.8,Point,NA,NA
Maryland,2 wk ahead,percent,0.9,Point,NA,NA
Maryland,3 wk ahead,percent,0.9,Point,NA,NA
Maryland,4 wk ahead,percent,1,Point,NA,NA
Maryland,Season peak percentage,percent,5.1,Point,NA,NA
Maryland,Season peak week,week,5,Point,NA,NA
Pennsylvania,1 wk ahead,percent,1.3,Point,NA,NA
Pennsylvania,2 wk ahead,percent,1.4,Point,NA,NA
Pennsylvania,3 wk ahead,percent,1.5,Point,NA,NA
Pennsylvania,4 wk ahead,percent,1.6,Point,NA,NA
Pennsylvania,Season peak percentage,percent,3.8,Point,NA,NA
Pennsylvania,Season peak week,week,4,Point,NA,NA
Virginia,1 wk ahead,percent,1.5,Point,NA,NA
Virginia,2 wk ahead,percent,1.5,Point,NA,NA
Virginia,3 wk ahead,percent,1.5,Point,NA,NA
Virginia,4 wk ahead,percent,1.6,Point,NA,NA
Virginia,Season peak percentage,percent,5.4,Point,NA,NA
Virginia,Season peak week,week,2,Point,NA,NA
West Virginia,1 wk ahead,percent,1.1,Point,NA,NA
West Virginia,2 wk ahead,percent,1.2,Point,NA,NA
West Virginia,3 wk ahead,percent,1.1,Point,NA,NA
West Virginia,4 wk ahead,percent,1.2,Point,NA,NA
West Virginia,Season peak percentage,percent,4.7,Point,NA,NA
West Virginia,Season peak week,week,4,Point,NA,NA
Delaware,1 wk ahead,percent,0.0119068582677994,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.533053764815965,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.37410300647818,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.0552128625629961,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.00595791944617149,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.00594234551725946,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.00396156286404626,Bin,0.6,0.7
Delaware,1 wk ahead,percent,1.57818655082636e-20,Bin,0.7,0.8
Delaware,1 wk ahead,percent,7.47523826293203e-13,Bin,0.8,0.9
Delaware,1 wk ahead,percent,1.19711127452923e-07,Bin,0.9,1.0
Delaware,1 wk ahead,percent,0.000118646087751509,Bin,1.0,1.1
Delaware,1 wk ahead,percent,0.00128093687990732,Bin,1.1,1.2
Delaware,1 wk ahead,percent,0.000358467454716037,Bin,1.2,1.3
Delaware,1 wk ahead,percent,1.83149628581729e-05,Bin,1.3,1.4
Delaware,1 wk ahead,percent,0.00596065925892666,Bin,1.4,1.5
Delaware,1 wk ahead,percent,1.83149628581729e-05,Bin,1.5,1.6
Delaware,1 wk ahead,percent,1.83149628581729e-05,Bin,1.6,1.7
Delaware,1 wk ahead,percent,1.83149628581729e-05,Bin,1.7,1.8
Delaware,1 wk ahead,percent,1.83149628581729e-05,Bin,1.8,1.9
Delaware,1 wk ahead,percent,1.83149628581729e-05,Bin,1.9,2.0
Delaware,1 wk ahead,percent,1.83149628581729e-05,Bin,2.0,2.1
