location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.2,Point,NA,NA
Delaware,2 wk ahead,percent,0.3,Point,NA,NA
Delaware,3 wk ahead,percent,0.4,Point,NA,NA
Delaware,4 wk ahead,percent,0.5,Point,NA,NA
Delaware,Season peak percentage,percent,2.2,Point,NA,NA
Delaware,Season peak week,week,6,Point,NA,NA
Maryland,1 wk ahead,percent,1.6,Point,NA,NA
Maryland,2 wk ahead,percent,1.8,Point,NA,NA
Maryland,3 wk ahead,percent,2,Point,NA,NA
Maryland,4 wk ahead,percent,2,Point,NA,NA
Maryland,Season peak percentage,percent,4.1,Point,NA,NA
Maryland,Season peak week,week,5,Point,NA,NA
Pennsylvania,1 wk ahead,percent,1.7,Point,NA,NA
Pennsylvania,2 wk ahead,percent,1.9,Point,NA,NA
Pennsylvania,3 wk ahead,percent,2.1,Point,NA,NA
Pennsylvania,4 wk ahead,percent,2.2,Point,NA,NA
Pennsylvania,Season peak percentage,percent,3.5,Point,NA,NA
Pennsylvania,Season peak week,week,6,Point,NA,NA
Virginia,1 wk ahead,percent,2.5,Point,NA,NA
Virginia,2 wk ahead,percent,2.7,Point,NA,NA
Virginia,3 wk ahead,percent,3,Point,NA,NA
Virginia,4 wk ahead,percent,3.1,Point,NA,NA
Virginia,Season peak percentage,percent,4.5,Point,NA,NA
Virginia,Season peak week,week,3,Point,NA,NA
West Virginia,1 wk ahead,percent,1.5,Point,NA,NA
West Virginia,2 wk ahead,percent,1.7,Point,NA,NA
West Virginia,3 wk ahead,percent,1.8,Point,NA,NA
West Virginia,4 wk ahead,percent,1.9,Point,NA,NA
West Virginia,Season peak percentage,percent,3.2,Point,NA,NA
West Virginia,Season peak week,week,5,Point,NA,NA
Delaware,1 wk ahead,percent,0.0291958921599249,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.193386064593442,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.517422741926158,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.123240846569434,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.0538484997379683,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.0239109966018875,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.00883903181661268,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.011118424332493,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.00180407965963484,Bin,0.8,0.9
Delaware,1 wk ahead,percent,0.00250433983258201,Bin,0.9,1.0
Delaware,1 wk ahead,percent,0.00523691038784367,Bin,1.0,1.1
Delaware,1 wk ahead,percent,0.00374871257360391,Bin,1.1,1.2
Delaware,1 wk ahead,percent,0.00318573127898215,Bin,1.2,1.3
Delaware,1 wk ahead,percent,0.00208244558491641,Bin,1.3,1.4
Delaware,1 wk ahead,percent,0.00105350382573618,Bin,1.4,1.5
Delaware,1 wk ahead,percent,0.00045013047308807,Bin,1.5,1.6
Delaware,1 wk ahead,percent,0.000302219876503168,Bin,1.6,1.7
Delaware,1 wk ahead,percent,0.000561672902932003,Bin,1.7,1.8
Delaware,1 wk ahead,percent,0.00120105227131143,Bin,1.8,1.9
Delaware,1 wk ahead,percent,0.00205513911734763,Bin,1.9,2.0
Delaware,1 wk ahead,percent,0.00270862661614562,Bin,2.0,2.1
Delaware,1 wk ahead,percent,0.00274162025095893,Bin,2.1,2.2
Delaware,1 wk ahead,percent,0.0021304663635988,Bin,2.2,2.3
Delaware,1 wk ahead,percent,0.00127102185206187,Bin,2.3,2.4
Delaware,1 wk ahead,percent,0.00240501600004418,Bin,2.4,2.5
Delaware,1 wk ahead,percent,0.000204610487543954,Bin,2.5,2.6
Delaware,1 wk ahead,percent,5.60613266769177e-05,Bin,2.6,2.7
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,2.7,2.8
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,2.8,2.9
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,2.9,3.0
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.0,3.1
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.1,3.2
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.2,3.3
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.3,3.4
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.4,3.5
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.5,3.6
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.6,3.7
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.7,3.8
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.8,3.9
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,3.9,4.0
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.0,4.1
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.1,4.2
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.2,4.3
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.3,4.4
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.4,4.5
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.5,4.6
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.6,4.7
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.7,4.8
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.8,4.9
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,4.9,5.0
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.0,5.1
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.1,5.2
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.2,5.3
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.3,5.4
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.4,5.5
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.5,5.6
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.6,5.7
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.7,5.8
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.8,5.9
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,5.9,6.0
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.0,6.1
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.1,6.2
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.2,6.3
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.3,6.4
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.4,6.5
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.5,6.6
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.6,6.7
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.7,6.8
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.8,6.9
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,6.9,7.0
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.0,7.1
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.1,7.2
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.2,7.3
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.3,7.4
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.4,7.5
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.5,7.6
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.6,7.7
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.7,7.8
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.8,7.9
Delaware,1 wk ahead,percent,3.20590536593092e-05,Bin,7.9,8.0
Delaware,1 wk ahead,percent,3.20590536593095e-05,Bin,8.0,8.1
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.1,8.2
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.2,8.3
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.3,8.4
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.4,8.5
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.5,8.6
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.6,8.7
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.7,8.8
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.8,8.9
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,8.9,9.0
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.0,9.1
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.1,9.2
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.2,9.3
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.3,9.4
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.4,9.5
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.5,9.6
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.6,9.7
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.7,9.8
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.8,9.9
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,9.9,10.0
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.0,10.1
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.1,10.2
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.2,10.3
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.3,10.4
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.4,10.5
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.5,10.6
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.6,10.7
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.7,10.8
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.8,10.9
Delaware,1 wk ahead,percent,3.20590536593098e-05,Bin,10.9,11.0
