location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.1,Point,NA,NA
Delaware,2 wk ahead,percent,0.2,Point,NA,NA
Delaware,3 wk ahead,percent,0.2,Point,NA,NA
Delaware,4 wk ahead,percent,0.3,Point,NA,NA
Delaware,Season peak percentage,percent,10.2,Point,NA,NA
Delaware,Season peak week,week,3,Point,NA,NA
Maryland,1 wk ahead,percent,1,Point,NA,NA
Maryland,2 wk ahead,percent,0.9,Point,NA,NA
Maryland,3 wk ahead,percent,0.8,Point,NA,NA
Maryland,4 wk ahead,percent,0.9,Point,NA,NA
Maryland,Season peak percentage,percent,5.2,Point,NA,NA
Maryland,Season peak week,week,4,Point,NA,NA
Pennsylvania,1 wk ahead,percent,1.3,Point,NA,NA
Pennsylvania,2 wk ahead,percent,1.3,Point,NA,NA
Pennsylvania,3 wk ahead,percent,1.4,Point,NA,NA
Pennsylvania,4 wk ahead,percent,1.5,Point,NA,NA
Pennsylvania,Season peak percentage,percent,3.9,Point,NA,NA
Pennsylvania,Season peak week,week,4,Point,NA,NA
Virginia,1 wk ahead,percent,1.6,Point,NA,NA
Virginia,2 wk ahead,percent,1.6,Point,NA,NA
Virginia,3 wk ahead,percent,1.4,Point,NA,NA
Virginia,4 wk ahead,percent,1.4,Point,NA,NA
Virginia,Season peak percentage,percent,5.4,Point,NA,NA
Virginia,Season peak week,week,1,Point,NA,NA
West Virginia,1 wk ahead,percent,1.1,Point,NA,NA
West Virginia,2 wk ahead,percent,1.2,Point,NA,NA
West Virginia,3 wk ahead,percent,1.3,Point,NA,NA
West Virginia,4 wk ahead,percent,1.3,Point,NA,NA
West Virginia,Season peak percentage,percent,5,Point,NA,NA
West Virginia,Season peak week,week,4,Point,NA,NA
Delaware,1 wk ahead,percent,0.0145040631081356,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.590438768205624,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.318927794951141,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.0463247606806099,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.0111545200826968,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.0079472090968178,Bin,0.5,0.6
Delaware,1 wk ahead,percent,4.30898020653189e-05,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.000968552813053661,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.0012286844531115,Bin,0.8,0.9
Delaware,1 wk ahead,percent,9.70731974711793e-05,Bin,0.9,1.0
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.0,1.1
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.1,1.2
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.2,1.3
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.3,1.4
Delaware,1 wk ahead,percent,0.00595102942316538,Bin,1.4,1.5
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.5,1.6
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.6,1.7
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.7,1.8
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.8,1.9
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,1.9,2.0
Delaware,1 wk ahead,percent,2.01204515508942e-05,Bin,2.0,2.1
