location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,2.5,Point,NA,NA
HHS Region 1,Season peak week,week,10,Point,NA,NA
HHS Region 10,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 10,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,Season onset,week,3,Point,NA,NA
HHS Region 10,Season peak percentage,percent,2.4,Point,NA,NA
HHS Region 10,Season peak week,week,7,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.7,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.3,Point,NA,NA
HHS Region 2,4 wk ahead,percent,2.1,Point,NA,NA
HHS Region 2,Season onset,week,51,Point,NA,NA
HHS Region 2,Season peak percentage,percent,5.1,Point,NA,NA
HHS Region 2,Season peak week,week,11,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.8,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,Season onset,week,47,Point,NA,NA
HHS Region 3,Season peak percentage,percent,4,Point,NA,NA
HHS Region 3,Season peak week,week,10,Point,NA,NA
HHS Region 4,1 wk ahead,percent,2,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 4,Season onset,week,3,Point,NA,NA
HHS Region 4,Season peak percentage,percent,3.6,Point,NA,NA
HHS Region 4,Season peak week,week,10,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1,Point,NA,NA
HHS Region 5,Season onset,week,7,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.4,Point,NA,NA
HHS Region 5,Season peak week,week,10,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.4,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.3,Point,NA,NA
HHS Region 6,4 wk ahead,percent,2.1,Point,NA,NA
HHS Region 6,Season onset,week,47,Point,NA,NA
HHS Region 6,Season peak percentage,percent,5.6,Point,NA,NA
HHS Region 6,Season peak week,week,7,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 7,3 wk ahead,percent,0.7,Point,NA,NA
HHS Region 7,4 wk ahead,percent,0.6,Point,NA,NA
HHS Region 7,Season onset,week,7,Point,NA,NA
HHS Region 7,Season peak percentage,percent,2.6,Point,NA,NA
HHS Region 7,Season peak week,week,10,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 8,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 8,4 wk ahead,percent,0.8,Point,NA,NA
HHS Region 8,Season onset,week,5,Point,NA,NA
HHS Region 8,Season peak percentage,percent,2.3,Point,NA,NA
HHS Region 8,Season peak week,week,11,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.5,Point,NA,NA
HHS Region 9,Season onset,week,4,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.4,Point,NA,NA
HHS Region 9,Season peak week,week,7,Point,NA,NA
US National,1 wk ahead,percent,1.9,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.6,Point,NA,NA
US National,4 wk ahead,percent,1.5,Point,NA,NA
US National,Season onset,week,3,Point,NA,NA
US National,Season peak percentage,percent,3.7,Point,NA,NA
US National,Season peak week,week,10,Point,NA,NA
US National,Season onset,week,3.79003283364676e-05,Bin,40.0,41.0
US National,Season onset,week,0.000133932912544122,Bin,41.0,42.0
US National,Season onset,week,0.000382827503577326,Bin,42.0,43.0
US National,Season onset,week,0.000905026427035932,Bin,43.0,44.0
US National,Season onset,week,0.00180898613104503,Bin,44.0,45.0
US National,Season onset,week,0.00310488888820167,Bin,45.0,46.0
US National,Season onset,week,0.00460370814554347,Bin,46.0,47.0
US National,Season onset,week,0.00590903993258862,Bin,47.0,48.0
US National,Season onset,week,0.00662240732211405,Bin,48.0,49.0
US National,Season onset,week,0.00662233020783809,Bin,49.0,50.0
US National,Season onset,week,0.00607114023947427,Bin,50.0,51.0
US National,Season onset,week,0.00515787811250843,Bin,51.0,52.0
US National,Season onset,week,0.00400179235002669,Bin,52.0,53.0
US National,Season onset,week,0.00282434278177147,Bin,1.0,2.0
US National,Season onset,week,0.0019864440558798,Bin,2.0,3.0
US National,Season onset,week,0.937875737601138,Bin,3.0,4.0
US National,Season onset,week,0.00181137842467785,Bin,4.0,5.0
US National,Season onset,week,0.00187133212320964,Bin,5.0,6.0
US National,Season onset,week,0.00160012036951453,Bin,6.0,7.0
US National,Season onset,week,0.00107293660054834,Bin,7.0,8.0
US National,Season onset,week,0.000556154394438037,Bin,8.0,9.0
US National,Season onset,week,0.000222032770129774,Bin,9.0,10.0
US National,Season onset,week,6.82000071091017e-05,Bin,10.0,11.0
US National,Season onset,week,2.20255556414852e-05,Bin,11.0,12.0
US National,Season onset,week,2.05233651635685e-05,Bin,12.0,13.0
US National,Season onset,week,2.05233651635685e-05,Bin,13.0,14.0
US National,Season onset,week,2.05233651635685e-05,Bin,14.0,15.0
US National,Season onset,week,2.05233651635685e-05,Bin,15.0,16.0
US National,Season onset,week,2.05233651635685e-05,Bin,16.0,17.0
US National,Season onset,week,2.05233651635685e-05,Bin,17.0,18.0
US National,Season onset,week,2.05233651635685e-05,Bin,18.0,19.0
US National,Season onset,week,2.05233651635685e-05,Bin,19.0,20.0
US National,Season onset,week,2.05233651635685e-05,Bin,20.0,21.0
US National,Season onset,week,0.00454272652863615,Bin,none,none
US National,Season peak week,week,8.50368733065198e-05,Bin,40.0,41.0
US National,Season peak week,week,8.50368733065198e-05,Bin,41.0,42.0
US National,Season peak week,week,8.50368733065198e-05,Bin,42.0,43.0
US National,Season peak week,week,8.50368733065198e-05,Bin,43.0,44.0
US National,Season peak week,week,8.50368733065198e-05,Bin,44.0,45.0
US National,Season peak week,week,8.50368733065198e-05,Bin,45.0,46.0
US National,Season peak week,week,8.50368733065198e-05,Bin,46.0,47.0
