location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,2.3,Point,NA,NA
HHS Region 1,2 wk ahead,percent,2.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 1,Season onset,week,5,Point,NA,NA
HHS Region 1,Season peak percentage,percent,2.6,Point,NA,NA
HHS Region 1,Season peak week,week,7,Point,NA,NA
HHS Region 10,1 wk ahead,percent,2.7,Point,NA,NA
HHS Region 10,2 wk ahead,percent,2.7,Point,NA,NA
HHS Region 10,3 wk ahead,percent,2.5,Point,NA,NA
HHS Region 10,4 wk ahead,percent,2.3,Point,NA,NA
HHS Region 10,Season onset,week,5,Point,NA,NA
HHS Region 10,Season peak percentage,percent,3.7,Point,NA,NA
HHS Region 10,Season peak week,week,8,Point,NA,NA
HHS Region 2,1 wk ahead,percent,4.2,Point,NA,NA
HHS Region 2,2 wk ahead,percent,3.9,Point,NA,NA
HHS Region 2,3 wk ahead,percent,3.5,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.2,Point,NA,NA
HHS Region 2,Season onset,week,49,Point,NA,NA
HHS Region 2,Season peak percentage,percent,4.8,Point,NA,NA
HHS Region 2,Season peak week,week,7,Point,NA,NA
HHS Region 3,1 wk ahead,percent,4.4,Point,NA,NA
HHS Region 3,2 wk ahead,percent,4.4,Point,NA,NA
HHS Region 3,3 wk ahead,percent,4,Point,NA,NA
HHS Region 3,4 wk ahead,percent,3.8,Point,NA,NA
HHS Region 3,Season onset,week,3,Point,NA,NA
HHS Region 3,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 3,Season peak week,week,7,Point,NA,NA
HHS Region 4,1 wk ahead,percent,5.1,Point,NA,NA
HHS Region 4,2 wk ahead,percent,4.9,Point,NA,NA
HHS Region 4,3 wk ahead,percent,4.6,Point,NA,NA
HHS Region 4,4 wk ahead,percent,4,Point,NA,NA
HHS Region 4,Season onset,week,49,Point,NA,NA
HHS Region 4,Season peak percentage,percent,5.8,Point,NA,NA
HHS Region 4,Season peak week,week,6,Point,NA,NA
HHS Region 5,1 wk ahead,percent,3.3,Point,NA,NA
HHS Region 5,2 wk ahead,percent,3.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,3.1,Point,NA,NA
HHS Region 5,4 wk ahead,percent,2.9,Point,NA,NA
HHS Region 5,Season onset,week,2,Point,NA,NA
HHS Region 5,Season peak percentage,percent,4.1,Point,NA,NA
HHS Region 5,Season peak week,week,5,Point,NA,NA
HHS Region 6,1 wk ahead,percent,6.4,Point,NA,NA
HHS Region 6,2 wk ahead,percent,5.9,Point,NA,NA
HHS Region 6,3 wk ahead,percent,5.5,Point,NA,NA
HHS Region 6,4 wk ahead,percent,4.9,Point,NA,NA
HHS Region 6,Season onset,week,3,Point,NA,NA
HHS Region 6,Season peak percentage,percent,7.6,Point,NA,NA
HHS Region 6,Season peak week,week,5,Point,NA,NA
HHS Region 7,1 wk ahead,percent,3.6,Point,NA,NA
HHS Region 7,2 wk ahead,percent,3.3,Point,NA,NA
HHS Region 7,3 wk ahead,percent,2.9,Point,NA,NA
HHS Region 7,4 wk ahead,percent,2.4,Point,NA,NA
HHS Region 7,Season onset,week,4,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4.3,Point,NA,NA
HHS Region 7,Season peak week,week,6,Point,NA,NA
HHS Region 8,1 wk ahead,percent,3,Point,NA,NA
HHS Region 8,2 wk ahead,percent,3,Point,NA,NA
HHS Region 8,3 wk ahead,percent,2.2,Point,NA,NA
HHS Region 8,4 wk ahead,percent,2.1,Point,NA,NA
HHS Region 8,Season onset,week,5,Point,NA,NA
HHS Region 8,Season peak percentage,percent,3.6,Point,NA,NA
HHS Region 8,Season peak week,week,7,Point,NA,NA
HHS Region 9,1 wk ahead,percent,4.1,Point,NA,NA
HHS Region 9,2 wk ahead,percent,3.8,Point,NA,NA
HHS Region 9,3 wk ahead,percent,3.2,Point,NA,NA
HHS Region 9,4 wk ahead,percent,2.9,Point,NA,NA
HHS Region 9,Season onset,week,8,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 9,Season peak week,week,51,Point,NA,NA
US National,1 wk ahead,percent,4.4,Point,NA,NA
US National,2 wk ahead,percent,4.2,Point,NA,NA
US National,3 wk ahead,percent,4,Point,NA,NA
US National,4 wk ahead,percent,3.7,Point,NA,NA
US National,Season onset,week,51,Point,NA,NA
US National,Season peak percentage,percent,4.7,Point,NA,NA
US National,Season peak week,week,6,Point,NA,NA
HHS Region 1,1 wk ahead,percent,0.00019612866285534,Bin,0.0,0.1
HHS Region 1,1 wk ahead,percent,0.00065922655593699,Bin,0.1,0.2
HHS Region 1,1 wk ahead,percent,0.00115016372895688,Bin,0.2,0.3
HHS Region 1,1 wk ahead,percent,0.0017517045650319,Bin,0.3,0.4
HHS Region 1,1 wk ahead,percent,0.00232883247136989,Bin,0.4,0.5
HHS Region 1,1 wk ahead,percent,0.00270270699172303,Bin,0.5,0.6
HHS Region 1,1 wk ahead,percent,0.00273811128693704,Bin,0.6,0.7
HHS Region 1,1 wk ahead,percent,0.0123633305133631,Bin,0.7,0.8
HHS Region 1,1 wk ahead,percent,0.00684405613350592,Bin,0.8,0.9
HHS Region 1,1 wk ahead,percent,0.00127667799700575,Bin,0.9,1.0
HHS Region 1,1 wk ahead,percent,0.00411281803671842,Bin,1.0,1.1
HHS Region 1,1 wk ahead,percent,0.00883736523909124,Bin,1.1,1.2
