location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,1.2
HHS Region 1,2 wk ahead,Point,percent,NA,NA,1
HHS Region 1,3 wk ahead,Point,percent,NA,NA,1
HHS Region 1,4 wk ahead,Point,percent,NA,NA,0.9
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,0.8
HHS Region 10,2 wk ahead,Point,percent,NA,NA,0.7
HHS Region 10,3 wk ahead,Point,percent,NA,NA,0.6
HHS Region 10,4 wk ahead,Point,percent,NA,NA,0.5
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,4.3
HHS Region 10,Season peak week,Point,week,NA,NA,11
HHS Region 2,1 wk ahead,Point,percent,NA,NA,2.1
HHS Region 2,2 wk ahead,Point,percent,NA,NA,2
HHS Region 2,3 wk ahead,Point,percent,NA,NA,1.8
HHS Region 2,4 wk ahead,Point,percent,NA,NA,1.6
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 2,Season peak week,Point,week,NA,NA,7
HHS Region 3,1 wk ahead,Point,percent,NA,NA,1.1
HHS Region 3,2 wk ahead,Point,percent,NA,NA,1.1
HHS Region 3,3 wk ahead,Point,percent,NA,NA,1
HHS Region 3,4 wk ahead,Point,percent,NA,NA,1
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.6
HHS Region 3,Season peak week,Point,week,NA,NA,8
HHS Region 4,1 wk ahead,Point,percent,NA,NA,1.3
HHS Region 4,2 wk ahead,Point,percent,NA,NA,1.2
HHS Region 4,3 wk ahead,Point,percent,NA,NA,1.1
HHS Region 4,4 wk ahead,Point,percent,NA,NA,1
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5.9
HHS Region 4,Season peak week,Point,week,NA,NA,6
HHS Region 5,1 wk ahead,Point,percent,NA,NA,1
HHS Region 5,2 wk ahead,Point,percent,NA,NA,0.9
HHS Region 5,3 wk ahead,Point,percent,NA,NA,0.8
HHS Region 5,4 wk ahead,Point,percent,NA,NA,0.7
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.6
HHS Region 5,Season peak week,Point,week,NA,NA,11
HHS Region 6,1 wk ahead,Point,percent,NA,NA,2.1
HHS Region 6,2 wk ahead,Point,percent,NA,NA,2
HHS Region 6,3 wk ahead,Point,percent,NA,NA,1.8
HHS Region 6,4 wk ahead,Point,percent,NA,NA,1.7
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,10.2
HHS Region 6,Season peak week,Point,week,NA,NA,7
HHS Region 7,1 wk ahead,Point,percent,NA,NA,0.8
HHS Region 7,2 wk ahead,Point,percent,NA,NA,0.6
HHS Region 7,3 wk ahead,Point,percent,NA,NA,0.4
HHS Region 7,4 wk ahead,Point,percent,NA,NA,0.4
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,5.7
HHS Region 7,Season peak week,Point,week,NA,NA,11
HHS Region 8,1 wk ahead,Point,percent,NA,NA,1.6
HHS Region 8,2 wk ahead,Point,percent,NA,NA,1.2
HHS Region 8,3 wk ahead,Point,percent,NA,NA,0.9
HHS Region 8,4 wk ahead,Point,percent,NA,NA,0.8
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,5.9
HHS Region 8,Season peak week,Point,week,NA,NA,8
HHS Region 9,1 wk ahead,Point,percent,NA,NA,1.7
HHS Region 9,2 wk ahead,Point,percent,NA,NA,1.7
HHS Region 9,3 wk ahead,Point,percent,NA,NA,1.7
HHS Region 9,4 wk ahead,Point,percent,NA,NA,1.7
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 9,Season peak week,Point,week,NA,NA,7
US National,1 wk ahead,Point,percent,NA,NA,1.4
US National,2 wk ahead,Point,percent,NA,NA,1.3
US National,3 wk ahead,Point,percent,NA,NA,1.2
US National,4 wk ahead,Point,percent,NA,NA,1.1
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,5.1
US National,Season peak week,Point,week,NA,NA,7
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.63948394956827e-09
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,9.13767966906429e-09
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,1.56946718689484e-08
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00100002205914105
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.0010000262023608
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,2.65427482304082e-08
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0040000224038959
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00800001769568894
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0320000094986223
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0739999984111417
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.171999973361723
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.172999971807446
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.226999955477475
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.139999974086888
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0779999863164628
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0339999946160717
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0219999958098912
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0159999964108235
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00699999834674803
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,5.59739993431075e-11
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00299999929559648
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000999999802514825
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0039999990421373
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000999999802514825
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.000999999802514825
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,5.59739993431073e-11
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,5.59739993431073e-11
