location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.3,Point,NA,NA
Delaware,2 wk ahead,percent,0.4,Point,NA,NA
Delaware,3 wk ahead,percent,0.5,Point,NA,NA
Delaware,4 wk ahead,percent,0.8,Point,NA,NA
Delaware,Season peak percentage,percent,13,Point,NA,NA
Delaware,Season peak week,week,4,Point,NA,NA
Maryland,1 wk ahead,percent,1.5,Point,NA,NA
Maryland,2 wk ahead,percent,1.8,Point,NA,NA
Maryland,3 wk ahead,percent,2,Point,NA,NA
Maryland,4 wk ahead,percent,2.4,Point,NA,NA
Maryland,Season peak percentage,percent,5.9,Point,NA,NA
Maryland,Season peak week,week,2,Point,NA,NA
Pennsylvania,1 wk ahead,percent,1.6,Point,NA,NA
Pennsylvania,2 wk ahead,percent,1.7,Point,NA,NA
Pennsylvania,3 wk ahead,percent,1.9,Point,NA,NA
Pennsylvania,4 wk ahead,percent,2.1,Point,NA,NA
Pennsylvania,Season peak percentage,percent,4.3,Point,NA,NA
Pennsylvania,Season peak week,week,4,Point,NA,NA
Virginia,1 wk ahead,percent,1.7,Point,NA,NA
Virginia,2 wk ahead,percent,1.8,Point,NA,NA
Virginia,3 wk ahead,percent,2,Point,NA,NA
Virginia,4 wk ahead,percent,2.2,Point,NA,NA
Virginia,Season peak percentage,percent,4.9,Point,NA,NA
Virginia,Season peak week,week,4,Point,NA,NA
West Virginia,1 wk ahead,percent,1.3,Point,NA,NA
West Virginia,2 wk ahead,percent,1.4,Point,NA,NA
West Virginia,3 wk ahead,percent,1.5,Point,NA,NA
West Virginia,4 wk ahead,percent,1.9,Point,NA,NA
West Virginia,Season peak percentage,percent,5.3,Point,NA,NA
West Virginia,Season peak week,week,3,Point,NA,NA
Delaware,1 wk ahead,percent,0.0121679220940368,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.0700708749166441,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.254957641475381,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.408720383454525,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.120508502526085,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.066317904563639,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.0239943118969194,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.00597550518274789,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.00796538850918409,Bin,0.8,0.9
Delaware,1 wk ahead,percent,2.04604806811553e-12,Bin,0.9,1.0
Delaware,1 wk ahead,percent,0.00796540421098346,Bin,1.0,1.1
