location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 1,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1,Point,NA,NA
HHS Region 1,Season onset,week,3,Point,NA,NA
HHS Region 1,Season peak percentage,percent,2.5,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,1,Point,NA,NA
HHS Region 10,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 10,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 10,Season onset,week,2,Point,NA,NA
HHS Region 10,Season peak percentage,percent,3.8,Point,NA,NA
HHS Region 10,Season peak week,week,5,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.2,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.1,Point,NA,NA
HHS Region 2,4 wk ahead,percent,2.6,Point,NA,NA
HHS Region 2,Season onset,week,50,Point,NA,NA
HHS Region 2,Season peak percentage,percent,4.2,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 3,4 wk ahead,percent,2.1,Point,NA,NA
HHS Region 3,Season onset,week,1,Point,NA,NA
HHS Region 3,Season peak percentage,percent,4.4,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,3 wk ahead,percent,2.2,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2.5,Point,NA,NA
HHS Region 4,Season onset,week,49,Point,NA,NA
HHS Region 4,Season peak percentage,percent,4.2,Point,NA,NA
HHS Region 4,Season peak week,week,4,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.7,Point,NA,NA
HHS Region 5,Season onset,week,52,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.6,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,3.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,3.1,Point,NA,NA
HHS Region 6,3 wk ahead,percent,3.7,Point,NA,NA
HHS Region 6,4 wk ahead,percent,4.5,Point,NA,NA
HHS Region 6,Season onset,week,47,Point,NA,NA
HHS Region 6,Season peak percentage,percent,7.8,Point,NA,NA
HHS Region 6,Season peak week,week,3,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 7,Season onset,week,1,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4.5,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,0.9,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,Season onset,week,1,Point,NA,NA
HHS Region 8,Season peak percentage,percent,3.2,Point,NA,NA
HHS Region 8,Season peak week,week,4,Point,NA,NA
HHS Region 9,1 wk ahead,percent,2.1,Point,NA,NA
HHS Region 9,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 9,3 wk ahead,percent,2.9,Point,NA,NA
HHS Region 9,4 wk ahead,percent,3.3,Point,NA,NA
HHS Region 9,Season onset,week,1,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 9,Season peak week,week,5,Point,NA,NA
US National,1 wk ahead,percent,1.7,Point,NA,NA
US National,2 wk ahead,percent,1.8,Point,NA,NA
US National,3 wk ahead,percent,2.1,Point,NA,NA
US National,4 wk ahead,percent,2.4,Point,NA,NA
US National,Season onset,week,50,Point,NA,NA
US National,Season peak percentage,percent,3.8,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,0.000135517472081199,Bin,40.0,41.0
US National,Season onset,week,0.00044425009253316,Bin,41.0,42.0
US National,Season onset,week,0.00195362873269645,Bin,42.0,43.0
US National,Season onset,week,0.00612026364236266,Bin,43.0,44.0
US National,Season onset,week,0.0141631731216028,Bin,44.0,45.0
US National,Season onset,week,0.0258144507092443,Bin,45.0,46.0
US National,Season onset,week,0.039583602273961,Bin,46.0,47.0
US National,Season onset,week,0.0528210948511121,Bin,47.0,48.0
US National,Season onset,week,0.14047139257873,Bin,48.0,49.0
US National,Season onset,week,0.147255536345544,Bin,49.0,50.0
US National,Season onset,week,0.0978894316466584,Bin,50.0,51.0
US National,Season onset,week,0.0869032068940054,Bin,51.0,52.0
US National,Season onset,week,0.0545150690299951,Bin,52.0,53.0
US National,Season onset,week,0.0381164215224695,Bin,1.0,2.0
US National,Season onset,week,0.0347931558042113,Bin,2.0,3.0
US National,Season onset,week,0.0265232251666907,Bin,3.0,4.0
US National,Season onset,week,0.027632076051624,Bin,4.0,5.0
US National,Season onset,week,0.0313446227121323,Bin,5.0,6.0
US National,Season onset,week,0.0233549098252103,Bin,6.0,7.0
US National,Season onset,week,0.0158633936494578,Bin,7.0,8.0
US National,Season onset,week,0.00674037285999426,Bin,8.0,9.0
US National,Season onset,week,0.00224544834270164,Bin,9.0,10.0
US National,Season onset,week,0.000413653158154927,Bin,10.0,11.0
US National,Season onset,week,0.000310266050109128,Bin,11.0,12.0
US National,Season onset,week,0.000310266050109128,Bin,12.0,13.0
US National,Season onset,week,0.000310266050109128,Bin,13.0,14.0
US National,Season onset,week,0.000310266050109128,Bin,14.0,15.0
US National,Season onset,week,0.000310266050109128,Bin,15.0,16.0
US National,Season onset,week,0.000310266050109128,Bin,16.0,17.0
US National,Season onset,week,0.000310266050109128,Bin,17.0,18.0
US National,Season onset,week,0.000310266050109128,Bin,18.0,19.0
US National,Season onset,week,0.000310266050109128,Bin,19.0,20.0
US National,Season onset,week,0.000310266050109128,Bin,20.0,21.0
US National,Season onset,week,0.121799443015734,Bin,none,none
US National,Season peak week,week,0.000853024795839502,Bin,40.0,41.0
US National,Season peak week,week,0.000853024795839502,Bin,41.0,42.0
US National,Season peak week,week,0.000853024795839502,Bin,42.0,43.0
US National,Season peak week,week,0.000853024795839502,Bin,43.0,44.0
US National,Season peak week,week,0.000853024795839502,Bin,44.0,45.0
US National,Season peak week,week,0.000853024795839502,Bin,45.0,46.0
US National,Season peak week,week,0.000853024795839502,Bin,46.0,47.0
US National,Season peak week,week,0.0063093740021887,Bin,47.0,48.0
US National,Season peak week,week,0.00432524701806172,Bin,48.0,49.0
US National,Season peak week,week,0.0104376782317127,Bin,49.0,50.0
US National,Season peak week,week,0.0258631712700789,Bin,50.0,51.0
US National,Season peak week,week,0.0591076239577969,Bin,51.0,52.0
US National,Season peak week,week,0.0992897024133791,Bin,52.0,53.0
US National,Season peak week,week,0.0590333555432485,Bin,1.0,2.0
US National,Season peak week,week,0.0437350892515377,Bin,2.0,3.0
US National,Season peak week,week,0.0668217123469332,Bin,3.0,4.0
US National,Season peak week,week,0.0735515073747751,Bin,4.0,5.0
US National,Season peak week,week,0.0884404894291638,Bin,5.0,6.0
US National,Season peak week,week,0.125861315620382,Bin,6.0,7.0
US National,Season peak week,week,0.131253777699358,Bin,7.0,8.0
US National,Season peak week,week,0.0749064936696092,Bin,8.0,9.0
US National,Season peak week,week,0.035434029745905,Bin,9.0,10.0
US National,Season peak week,week,0.0290076170818155,Bin,10.0,11.0
US National,Season peak week,week,0.0290276075006271,Bin,11.0,12.0
US National,Season peak week,week,0.0193476794309188,Bin,12.0,13.0
US National,Season peak week,week,0.00403357490229984,Bin,13.0,14.0
US National,Season peak week,week,0.00278110501901712,Bin,14.0,15.0
US National,Season peak week,week,0.00223286380947032,Bin,15.0,16.0
US National,Season peak week,week,0.00124080031740683,Bin,16.0,17.0
US National,Season peak week,week,0.000744768571375084,Bin,17.0,18.0
US National,Season peak week,week,0.000744768571375084,Bin,18.0,19.0
US National,Season peak week,week,0.000248736825343339,Bin,19.0,20.0
US National,Season peak week,week,0.000248736825343339,Bin,20.0,21.0
US National,Season peak percentage,percent,0.000110180643150104,Bin,0.0,0.1
US National,Season peak percentage,percent,0.000262458856091437,Bin,0.1,0.2
US National,Season peak percentage,percent,0.000328584552758168,Bin,0.2,0.3
US National,Season peak percentage,percent,0.000408389247697553,Bin,0.3,0.4
US National,Season peak percentage,percent,0.000503997065211284,Bin,0.4,0.5
US National,Season peak percentage,percent,0.000617566774303861,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000751469475754559,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000908151262677152,Bin,0.7,0.8
US National,Season peak percentage,percent,0.00109002764931493,Bin,0.8,0.9
US National,Season peak percentage,percent,0.00129958818219109,Bin,0.9,1.0
US National,Season peak percentage,percent,0.00153916137581181,Bin,1.0,1.1
US National,Season peak percentage,percent,0.00181104984975972,Bin,1.1,1.2
US National,Season peak percentage,percent,0.00211713897263338,Bin,1.2,1.3
US National,Season peak percentage,percent,0.00245928520153178,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00283873458070362,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00325646617231681,Bin,1.5,1.6
US National,Season peak percentage,percent,0.00371278677082292,Bin,1.6,1.7
US National,Season peak percentage,percent,0.0115408199352961,Bin,1.7,1.8
US National,Season peak percentage,percent,0.010739704064557,Bin,1.8,1.9
US National,Season peak percentage,percent,0.0113077515288685,Bin,1.9,2.0
US National,Season peak percentage,percent,0.0159093574762169,Bin,2.0,2.1
US National,Season peak percentage,percent,0.0165414024861417,Bin,2.1,2.2
US National,Season peak percentage,percent,0.0271999963027604,Bin,2.2,2.3
US National,Season peak percentage,percent,0.0198805886918417,Bin,2.3,2.4
US National,Season peak percentage,percent,0.0232445422938303,Bin,2.4,2.5
US National,Season peak percentage,percent,0.0279525813173843,Bin,2.5,2.6
