location,target,unit,value,type,bin_start_incl,bin_end_notincl
Alabama,1 wk ahead,percent,11,Point,NA,NA
Alabama,2 wk ahead,percent,9.3,Point,NA,NA
Alabama,3 wk ahead,percent,9,Point,NA,NA
Alabama,4 wk ahead,percent,8.7,Point,NA,NA
Alabama,Season peak percentage,percent,11.9,Point,NA,NA
Alabama,Season peak week,week,3,Point,NA,NA
Alaska,1 wk ahead,percent,3.8,Point,NA,NA
Alaska,2 wk ahead,percent,3.6,Point,NA,NA
Alaska,3 wk ahead,percent,3.8,Point,NA,NA
Alaska,4 wk ahead,percent,4.7,Point,NA,NA
Alaska,Season peak percentage,percent,10,Point,NA,NA
Alaska,Season peak week,week,8,Point,NA,NA
Arizona,1 wk ahead,percent,6.9,Point,NA,NA
Arizona,2 wk ahead,percent,5.8,Point,NA,NA
Arizona,3 wk ahead,percent,6.3,Point,NA,NA
Arizona,4 wk ahead,percent,6,Point,NA,NA
Arizona,Season peak percentage,percent,8.5,Point,NA,NA
Arizona,Season peak week,week,52,Point,NA,NA
Arkansas,1 wk ahead,percent,12.1,Point,NA,NA
Arkansas,2 wk ahead,percent,8.2,Point,NA,NA
Arkansas,3 wk ahead,percent,8.8,Point,NA,NA
Arkansas,4 wk ahead,percent,9.1,Point,NA,NA
Arkansas,Season peak percentage,percent,13,Point,NA,NA
Arkansas,Season peak week,week,4,Point,NA,NA
California,1 wk ahead,percent,5.4,Point,NA,NA
California,2 wk ahead,percent,4.9,Point,NA,NA
California,3 wk ahead,percent,5.3,Point,NA,NA
California,4 wk ahead,percent,4.9,Point,NA,NA
California,Season peak percentage,percent,6.8,Point,NA,NA
California,Season peak week,week,1,Point,NA,NA
Colorado,1 wk ahead,percent,3.5,Point,NA,NA
Colorado,2 wk ahead,percent,2.2,Point,NA,NA
Colorado,3 wk ahead,percent,2.3,Point,NA,NA
Colorado,4 wk ahead,percent,2.3,Point,NA,NA
Colorado,Season peak percentage,percent,3.6,Point,NA,NA
Colorado,Season peak week,week,3,Point,NA,NA
Connecticut,1 wk ahead,percent,5.9,Point,NA,NA
Connecticut,2 wk ahead,percent,6.2,Point,NA,NA
Connecticut,3 wk ahead,percent,6.2,Point,NA,NA
Connecticut,4 wk ahead,percent,5.8,Point,NA,NA
Connecticut,Season peak percentage,percent,8.9,Point,NA,NA
Connecticut,Season peak week,week,5,Point,NA,NA
Delaware,1 wk ahead,percent,1.6,Point,NA,NA
Delaware,2 wk ahead,percent,0.9,Point,NA,NA
Delaware,3 wk ahead,percent,1,Point,NA,NA
Delaware,4 wk ahead,percent,1.2,Point,NA,NA
Delaware,Season peak percentage,percent,3.1,Point,NA,NA
Delaware,Season peak week,week,6,Point,NA,NA
Georgia,1 wk ahead,percent,10.6,Point,NA,NA
Georgia,2 wk ahead,percent,6.7,Point,NA,NA
Georgia,3 wk ahead,percent,6.8,Point,NA,NA
Georgia,4 wk ahead,percent,7.1,Point,NA,NA
Georgia,Season peak percentage,percent,11.2,Point,NA,NA
Georgia,Season peak week,week,3,Point,NA,NA
Hawaii,1 wk ahead,percent,9.2,Point,NA,NA
Hawaii,2 wk ahead,percent,9.1,Point,NA,NA
Hawaii,3 wk ahead,percent,9.7,Point,NA,NA
Hawaii,4 wk ahead,percent,10.4,Point,NA,NA
Hawaii,Season peak percentage,percent,13,Point,NA,NA
Hawaii,Season peak week,week,8,Point,NA,NA
Idaho,1 wk ahead,percent,4.2,Point,NA,NA
Idaho,2 wk ahead,percent,2.9,Point,NA,NA
Idaho,3 wk ahead,percent,3,Point,NA,NA
Idaho,4 wk ahead,percent,3.3,Point,NA,NA
Idaho,Season peak percentage,percent,5.7,Point,NA,NA
Idaho,Season peak week,week,3,Point,NA,NA
Illinois,1 wk ahead,percent,6,Point,NA,NA
Illinois,2 wk ahead,percent,5.5,Point,NA,NA
Illinois,3 wk ahead,percent,4.6,Point,NA,NA
Illinois,4 wk ahead,percent,4,Point,NA,NA
Illinois,Season peak percentage,percent,6.8,Point,NA,NA
Illinois,Season peak week,week,3,Point,NA,NA
Indiana,1 wk ahead,percent,7.4,Point,NA,NA
Indiana,2 wk ahead,percent,4.3,Point,NA,NA
Indiana,3 wk ahead,percent,4.7,Point,NA,NA
Indiana,4 wk ahead,percent,4.8,Point,NA,NA
Indiana,Season peak percentage,percent,8.3,Point,NA,NA
Indiana,Season peak week,week,3,Point,NA,NA
Iowa,1 wk ahead,percent,3.2,Point,NA,NA
Iowa,2 wk ahead,percent,2.4,Point,NA,NA
Iowa,3 wk ahead,percent,2.2,Point,NA,NA
Iowa,4 wk ahead,percent,2.3,Point,NA,NA
Iowa,Season peak percentage,percent,4,Point,NA,NA
Iowa,Season peak week,week,52,Point,NA,NA
Kansas,1 wk ahead,percent,13,Point,NA,NA
Kansas,2 wk ahead,percent,10.5,Point,NA,NA
Kansas,3 wk ahead,percent,11,Point,NA,NA
Kansas,4 wk ahead,percent,13,Point,NA,NA
Kansas,Season peak percentage,percent,13,Point,NA,NA
Kansas,Season peak week,week,6,Point,NA,NA
Kentucky,1 wk ahead,percent,13,Point,NA,NA
Kentucky,2 wk ahead,percent,8.4,Point,NA,NA
Kentucky,3 wk ahead,percent,9,Point,NA,NA
Kentucky,4 wk ahead,percent,13,Point,NA,NA
Kentucky,Season peak percentage,percent,13,Point,NA,NA
Kentucky,Season peak week,week,6,Point,NA,NA
Maine,1 wk ahead,percent,1.1,Point,NA,NA
Maine,2 wk ahead,percent,0.9,Point,NA,NA
Maine,3 wk ahead,percent,0.9,Point,NA,NA
Maine,4 wk ahead,percent,1,Point,NA,NA
Maine,Season peak percentage,percent,1.6,Point,NA,NA
Maine,Season peak week,week,7,Point,NA,NA
Maryland,1 wk ahead,percent,5,Point,NA,NA
Maryland,2 wk ahead,percent,3.4,Point,NA,NA
Maryland,3 wk ahead,percent,3.5,Point,NA,NA
Maryland,4 wk ahead,percent,3.7,Point,NA,NA
Maryland,Season peak percentage,percent,6.4,Point,NA,NA
Maryland,Season peak week,week,3,Point,NA,NA
Massachusetts,1 wk ahead,percent,3.8,Point,NA,NA
Massachusetts,2 wk ahead,percent,2.9,Point,NA,NA
Massachusetts,3 wk ahead,percent,2.8,Point,NA,NA
Massachusetts,4 wk ahead,percent,2.7,Point,NA,NA
Massachusetts,Season peak percentage,percent,7.1,Point,NA,NA
Massachusetts,Season peak week,week,5,Point,NA,NA
Michigan,1 wk ahead,percent,3.2,Point,NA,NA
Michigan,2 wk ahead,percent,2.6,Point,NA,NA
Michigan,3 wk ahead,percent,2.6,Point,NA,NA
Michigan,4 wk ahead,percent,2.7,Point,NA,NA
Michigan,Season peak percentage,percent,3.6,Point,NA,NA
Michigan,Season peak week,week,3,Point,NA,NA
Minnesota,1 wk ahead,percent,4.6,Point,NA,NA
Minnesota,2 wk ahead,percent,3.6,Point,NA,NA
Minnesota,3 wk ahead,percent,4,Point,NA,NA
Minnesota,4 wk ahead,percent,4.2,Point,NA,NA
Minnesota,Season peak percentage,percent,6.6,Point,NA,NA
Minnesota,Season peak week,week,6,Point,NA,NA
Mississippi,1 wk ahead,percent,9.4,Point,NA,NA
Mississippi,2 wk ahead,percent,8.3,Point,NA,NA
Mississippi,3 wk ahead,percent,7.1,Point,NA,NA
Mississippi,4 wk ahead,percent,6.3,Point,NA,NA
Mississippi,Season peak percentage,percent,13,Point,NA,NA
Mississippi,Season peak week,week,52,Point,NA,NA
Missouri,1 wk ahead,percent,7.9,Point,NA,NA
Missouri,2 wk ahead,percent,6.9,Point,NA,NA
Missouri,3 wk ahead,percent,6.2,Point,NA,NA
Missouri,4 wk ahead,percent,5.2,Point,NA,NA
Missouri,Season peak percentage,percent,10.9,Point,NA,NA
Missouri,Season peak week,week,2,Point,NA,NA
Montana,1 wk ahead,percent,0.4,Point,NA,NA
Montana,2 wk ahead,percent,0.4,Point,NA,NA
Montana,3 wk ahead,percent,0.3,Point,NA,NA
Montana,4 wk ahead,percent,0.3,Point,NA,NA
Montana,Season peak percentage,percent,0.9,Point,NA,NA
Montana,Season peak week,week,8,Point,NA,NA
Nebraska,1 wk ahead,percent,7,Point,NA,NA
Nebraska,2 wk ahead,percent,4.6,Point,NA,NA
Nebraska,3 wk ahead,percent,5.4,Point,NA,NA
Nebraska,4 wk ahead,percent,5.7,Point,NA,NA
Nebraska,Season peak percentage,percent,10.2,Point,NA,NA
Nebraska,Season peak week,week,6,Point,NA,NA
Nevada,1 wk ahead,percent,5.2,Point,NA,NA
Nevada,2 wk ahead,percent,4.3,Point,NA,NA
Nevada,3 wk ahead,percent,4,Point,NA,NA
Nevada,4 wk ahead,percent,3.6,Point,NA,NA
Nevada,Season peak percentage,percent,5.8,Point,NA,NA
Nevada,Season peak week,week,3,Point,NA,NA
New Hampshire,1 wk ahead,percent,1.6,Point,NA,NA
New Hampshire,2 wk ahead,percent,1.8,Point,NA,NA
New Hampshire,3 wk ahead,percent,1.8,Point,NA,NA
New Hampshire,4 wk ahead,percent,1.8,Point,NA,NA
New Hampshire,Season peak percentage,percent,3.1,Point,NA,NA
New Hampshire,Season peak week,week,7,Point,NA,NA
New Jersey,1 wk ahead,percent,5.3,Point,NA,NA
New Jersey,2 wk ahead,percent,4.9,Point,NA,NA
New Jersey,3 wk ahead,percent,5.1,Point,NA,NA
New Jersey,4 wk ahead,percent,5.1,Point,NA,NA
New Jersey,Season peak percentage,percent,6.8,Point,NA,NA
New Jersey,Season peak week,week,5,Point,NA,NA
New Mexico,1 wk ahead,percent,4.4,Point,NA,NA
New Mexico,2 wk ahead,percent,4.3,Point,NA,NA
New Mexico,3 wk ahead,percent,4.1,Point,NA,NA
New Mexico,4 wk ahead,percent,4.1,Point,NA,NA
New Mexico,Season peak percentage,percent,5.2,Point,NA,NA
New Mexico,Season peak week,week,4,Point,NA,NA
New York,1 wk ahead,percent,4.1,Point,NA,NA
New York,2 wk ahead,percent,3.9,Point,NA,NA
New York,3 wk ahead,percent,3.8,Point,NA,NA
New York,4 wk ahead,percent,3.6,Point,NA,NA
New York,Season peak percentage,percent,5.3,Point,NA,NA
New York,Season peak week,week,4,Point,NA,NA
North Carolina,1 wk ahead,percent,4.6,Point,NA,NA
North Carolina,2 wk ahead,percent,4.5,Point,NA,NA
North Carolina,3 wk ahead,percent,4.5,Point,NA,NA
North Carolina,4 wk ahead,percent,4,Point,NA,NA
North Carolina,Season peak percentage,percent,6.5,Point,NA,NA
North Carolina,Season peak week,week,5,Point,NA,NA
North Dakota,1 wk ahead,percent,3.2,Point,NA,NA
North Dakota,2 wk ahead,percent,3.7,Point,NA,NA
North Dakota,3 wk ahead,percent,4,Point,NA,NA
North Dakota,4 wk ahead,percent,3.8,Point,NA,NA
North Dakota,Season peak percentage,percent,7.7,Point,NA,NA
North Dakota,Season peak week,week,5,Point,NA,NA
Ohio,1 wk ahead,percent,5.1,Point,NA,NA
Ohio,2 wk ahead,percent,2.9,Point,NA,NA
Ohio,3 wk ahead,percent,3.2,Point,NA,NA
Ohio,4 wk ahead,percent,3.3,Point,NA,NA
Ohio,Season peak percentage,percent,5.7,Point,NA,NA
Ohio,Season peak week,week,3,Point,NA,NA
Oklahoma,1 wk ahead,percent,9.3,Point,NA,NA
Oklahoma,2 wk ahead,percent,9.3,Point,NA,NA
Oklahoma,3 wk ahead,percent,9,Point,NA,NA
Oklahoma,4 wk ahead,percent,8.3,Point,NA,NA
Oklahoma,Season peak percentage,percent,13,Point,NA,NA
Oklahoma,Season peak week,week,5,Point,NA,NA
Oregon,1 wk ahead,percent,6.4,Point,NA,NA
Oregon,2 wk ahead,percent,3.6,Point,NA,NA
Oregon,3 wk ahead,percent,3.4,Point,NA,NA
Oregon,4 wk ahead,percent,2.8,Point,NA,NA
Oregon,Season peak percentage,percent,6.7,Point,NA,NA
Oregon,Season peak week,week,3,Point,NA,NA
Pennsylvania,1 wk ahead,percent,2.9,Point,NA,NA
Pennsylvania,2 wk ahead,percent,3,Point,NA,NA
Pennsylvania,3 wk ahead,percent,3,Point,NA,NA
Pennsylvania,4 wk ahead,percent,2.8,Point,NA,NA
Pennsylvania,Season peak percentage,percent,3.6,Point,NA,NA
Pennsylvania,Season peak week,week,5,Point,NA,NA
Rhode Island,1 wk ahead,percent,3.6,Point,NA,NA
Rhode Island,2 wk ahead,percent,2.4,Point,NA,NA
Rhode Island,3 wk ahead,percent,2.3,Point,NA,NA
Rhode Island,4 wk ahead,percent,2.5,Point,NA,NA
Rhode Island,Season peak percentage,percent,4.9,Point,NA,NA
Rhode Island,Season peak week,week,5,Point,NA,NA
South Carolina,1 wk ahead,percent,9.2,Point,NA,NA
South Carolina,2 wk ahead,percent,7.2,Point,NA,NA
South Carolina,3 wk ahead,percent,6.9,Point,NA,NA
South Carolina,4 wk ahead,percent,8.1,Point,NA,NA
South Carolina,Season peak percentage,percent,13,Point,NA,NA
South Carolina,Season peak week,week,5,Point,NA,NA
South Dakota,1 wk ahead,percent,4.1,Point,NA,NA
South Dakota,2 wk ahead,percent,3.9,Point,NA,NA
South Dakota,3 wk ahead,percent,4.2,Point,NA,NA
South Dakota,4 wk ahead,percent,4.5,Point,NA,NA
South Dakota,Season peak percentage,percent,5.7,Point,NA,NA
South Dakota,Season peak week,week,6,Point,NA,NA
Tennessee,1 wk ahead,percent,7,Point,NA,NA
Tennessee,2 wk ahead,percent,5.3,Point,NA,NA
Tennessee,3 wk ahead,percent,5.5,Point,NA,NA
Tennessee,4 wk ahead,percent,5.4,Point,NA,NA
Tennessee,Season peak percentage,percent,9.2,Point,NA,NA
Tennessee,Season peak week,week,4,Point,NA,NA
Texas,1 wk ahead,percent,13,Point,NA,NA
Texas,2 wk ahead,percent,10.3,Point,NA,NA
Texas,3 wk ahead,percent,10.8,Point,NA,NA
Texas,4 wk ahead,percent,9.9,Point,NA,NA
Texas,Season peak percentage,percent,13,Point,NA,NA
Texas,Season peak week,week,3,Point,NA,NA
Utah,1 wk ahead,percent,1.9,Point,NA,NA
Utah,2 wk ahead,percent,2.1,Point,NA,NA
Utah,3 wk ahead,percent,2.2,Point,NA,NA
Utah,4 wk ahead,percent,2.4,Point,NA,NA
Utah,Season peak percentage,percent,3.2,Point,NA,NA
Utah,Season peak week,week,6,Point,NA,NA
Vermont,1 wk ahead,percent,3.4,Point,NA,NA
Vermont,2 wk ahead,percent,3.2,Point,NA,NA
Vermont,3 wk ahead,percent,3.5,Point,NA,NA
Vermont,4 wk ahead,percent,3.4,Point,NA,NA
Vermont,Season peak percentage,percent,6.1,Point,NA,NA
Vermont,Season peak week,week,7,Point,NA,NA
Virginia,1 wk ahead,percent,8,Point,NA,NA
Virginia,2 wk ahead,percent,6,Point,NA,NA
Virginia,3 wk ahead,percent,5.9,Point,NA,NA
Virginia,4 wk ahead,percent,5.7,Point,NA,NA
Virginia,Season peak percentage,percent,10.7,Point,NA,NA
Virginia,Season peak week,week,4,Point,NA,NA
Washington,1 wk ahead,percent,3.3,Point,NA,NA
Washington,2 wk ahead,percent,2.4,Point,NA,NA
Washington,3 wk ahead,percent,2.4,Point,NA,NA
Washington,4 wk ahead,percent,2,Point,NA,NA
Washington,Season peak percentage,percent,5.3,Point,NA,NA
Washington,Season peak week,week,1,Point,NA,NA
West Virginia,1 wk ahead,percent,8.6,Point,NA,NA
West Virginia,2 wk ahead,percent,6,Point,NA,NA
West Virginia,3 wk ahead,percent,6,Point,NA,NA
West Virginia,4 wk ahead,percent,6.2,Point,NA,NA
West Virginia,Season peak percentage,percent,9,Point,NA,NA
West Virginia,Season peak week,week,4,Point,NA,NA
Wisconsin,1 wk ahead,percent,4.2,Point,NA,NA
Wisconsin,2 wk ahead,percent,4.4,Point,NA,NA
Wisconsin,3 wk ahead,percent,3.9,Point,NA,NA
Wisconsin,4 wk ahead,percent,3.6,Point,NA,NA
Wisconsin,Season peak percentage,percent,5.9,Point,NA,NA
Wisconsin,Season peak week,week,2,Point,NA,NA
Wyoming,1 wk ahead,percent,5.8,Point,NA,NA
Wyoming,2 wk ahead,percent,6,Point,NA,NA
Wyoming,3 wk ahead,percent,5.2,Point,NA,NA
Wyoming,4 wk ahead,percent,5.8,Point,NA,NA
Wyoming,Season peak percentage,percent,8.5,Point,NA,NA
Wyoming,Season peak week,week,4,Point,NA,NA
Alabama,1 wk ahead,percent,6.4031918317844e-07,Bin,0.0,0.1
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.1,0.2
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.2,0.3
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.3,0.4
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.4,0.5
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.5,0.6
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.6,0.7
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.7,0.8
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.8,0.9
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,0.9,1.0
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,1.0,1.1
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,1.1,1.2
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,1.2,1.3
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,1.3,1.4
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,1.4,1.5
Alabama,1 wk ahead,percent,1.28063836635688e-06,Bin,1.5,1.6
Alabama,1 wk ahead,percent,1.60244196530712e-06,Bin,1.6,1.7
Alabama,1 wk ahead,percent,2.64845850252117e-06,Bin,1.7,1.8
Alabama,1 wk ahead,percent,4.25098314436993e-06,Bin,1.8,1.9
Alabama,1 wk ahead,percent,6.61376941664868e-06,Bin,1.9,2.0
Alabama,1 wk ahead,percent,9.97522758013641e-06,Bin,2.0,2.1
Alabama,1 wk ahead,percent,1.45877567759556e-05,Bin,2.1,2.2
Alabama,1 wk ahead,percent,2.06899485888549e-05,Bin,2.2,2.3
Alabama,1 wk ahead,percent,2.84697604957337e-05,Bin,2.3,2.4
Alabama,1 wk ahead,percent,3.80217211818794e-05,Bin,2.4,2.5
Alabama,1 wk ahead,percent,4.93098641384543e-05,Bin,2.5,2.6
Alabama,1 wk ahead,percent,6.21418149711342e-05,Bin,2.6,2.7
Alabama,1 wk ahead,percent,7.61632029944594e-05,Bin,2.7,2.8
Alabama,1 wk ahead,percent,9.08819882164942e-05,Bin,2.8,2.9
Alabama,1 wk ahead,percent,0.000105716656957953,Bin,2.9,3.0
Alabama,1 wk ahead,percent,0.00012006281021238,Bin,3.0,3.1
Alabama,1 wk ahead,percent,0.000133365067763878,Bin,3.1,3.2
Alabama,1 wk ahead,percent,0.000145175799557489,Bin,3.2,3.3
Alabama,1 wk ahead,percent,0.00213878824141895,Bin,3.3,3.4
Alabama,1 wk ahead,percent,0.000163237740880312,Bin,3.4,3.5
Alabama,1 wk ahead,percent,0.000169257328240221,Bin,3.5,3.6
Alabama,1 wk ahead,percent,0.00017323422075018,Bin,3.6,3.7
Alabama,1 wk ahead,percent,0.00215874985718966,Bin,3.7,3.8
Alabama,1 wk ahead,percent,0.000174954686646071,Bin,3.8,3.9
Alabama,1 wk ahead,percent,0.000172563087309445,Bin,3.9,4.0
Alabama,1 wk ahead,percent,0.000167903178026558,Bin,4.0,4.1
Alabama,1 wk ahead,percent,0.000160980461494957,Bin,4.1,4.2
Alabama,1 wk ahead,percent,0.000151957885473741,Bin,4.2,4.3
Alabama,1 wk ahead,percent,0.000141216646699722,Bin,4.3,4.4
Alabama,1 wk ahead,percent,0.000129383850897815,Bin,4.4,4.5
Alabama,1 wk ahead,percent,0.000117314631599298,Bin,4.5,4.6
Alabama,1 wk ahead,percent,0.000106025914621452,Bin,4.6,4.7
Alabama,1 wk ahead,percent,9.65938466924132e-05,Bin,4.7,4.8
Alabama,1 wk ahead,percent,9.00300801207035e-05,Bin,4.8,4.9
Alabama,1 wk ahead,percent,8.71523965211376e-05,Bin,4.9,5.0
Alabama,1 wk ahead,percent,8.84734852097139e-05,Bin,5.0,5.1
Alabama,1 wk ahead,percent,9.41159019977457e-05,Bin,5.1,5.2
Alabama,1 wk ahead,percent,0.000103767181747182,Bin,5.2,5.3
Alabama,1 wk ahead,percent,0.000116673825821767,Bin,5.3,5.4
Alabama,1 wk ahead,percent,0.000131696840987625,Bin,5.4,5.5
Alabama,1 wk ahead,percent,0.000147409190832027,Bin,5.5,5.6
Alabama,1 wk ahead,percent,0.00214583738144003,Bin,5.6,5.7
Alabama,1 wk ahead,percent,0.000174637378706619,Bin,5.7,5.8
Alabama,1 wk ahead,percent,0.000183260411562891,Bin,5.8,5.9
