location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.4,Point,NA,NA
Delaware,2 wk ahead,percent,0.5,Point,NA,NA
Delaware,3 wk ahead,percent,0.6,Point,NA,NA
Delaware,4 wk ahead,percent,0.7,Point,NA,NA
Delaware,Season peak percentage,percent,3.1,Point,NA,NA
Delaware,Season peak week,week,6,Point,NA,NA
Maryland,1 wk ahead,percent,2.1,Point,NA,NA
Maryland,2 wk ahead,percent,2.2,Point,NA,NA
Maryland,3 wk ahead,percent,2.3,Point,NA,NA
Maryland,4 wk ahead,percent,2.4,Point,NA,NA
Maryland,Season peak percentage,percent,4.8,Point,NA,NA
Maryland,Season peak week,week,6,Point,NA,NA
Pennsylvania,1 wk ahead,percent,1.9,Point,NA,NA
Pennsylvania,2 wk ahead,percent,2.5,Point,NA,NA
Pennsylvania,3 wk ahead,percent,2.4,Point,NA,NA
Pennsylvania,4 wk ahead,percent,2.4,Point,NA,NA
Pennsylvania,Season peak percentage,percent,3.7,Point,NA,NA
Pennsylvania,Season peak week,week,4,Point,NA,NA
Virginia,1 wk ahead,percent,2.8,Point,NA,NA
Virginia,2 wk ahead,percent,3,Point,NA,NA
Virginia,3 wk ahead,percent,3.2,Point,NA,NA
Virginia,4 wk ahead,percent,3.4,Point,NA,NA
Virginia,Season peak percentage,percent,5.3,Point,NA,NA
Virginia,Season peak week,week,4,Point,NA,NA
West Virginia,1 wk ahead,percent,2.9,Point,NA,NA
West Virginia,2 wk ahead,percent,2.5,Point,NA,NA
West Virginia,3 wk ahead,percent,3,Point,NA,NA
West Virginia,4 wk ahead,percent,3.3,Point,NA,NA
West Virginia,Season peak percentage,percent,5.1,Point,NA,NA
West Virginia,Season peak week,week,5,Point,NA,NA
Delaware,1 wk ahead,percent,0.00800000117151985,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.052000001046235,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.127999997931378,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.161999996446678,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.269999991559938,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.131999997268671,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.0699999995724226,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.0460000001666631,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.0360000001368293,Bin,0.8,0.9
Delaware,1 wk ahead,percent,0.031999999873945,Bin,0.9,1.0
